001Nlabc,Tom,Weissnat,New Lelah,CA,58,161.22
001Fwabc,Jane,Runte,Dashawnview,NE,49,151.41
001Hyabc,Tom,Hegmann,Schinnerburgh,NM,52,175.46
001Hqabc,Steve,Friesen,Siennahaven,VA,60,175.46
001Gcabc,Steve,Herman,Brakuston,VA,51,158.95
001Kbabc,Steve,Smith,North Moniquemouth,SC,77,170.56
001Xxabc,Tony,Hettinger,East Georgiannamouth,CA,27,175.46
001Qzabc,Peter,Dicki,North Catalina,CA,67,158.95
001Kvabc,John,Kulas,North Estelleville,SC,20,157.0
001Zxabc,Jane,White,South Addisonview,VA,16,175.46
001Miabc,John,Emard,Colefort,NE,38,183.96
001Phabc,John,Glover,Karleyport,CA,59,156.19
001Xmabc,Tom,Cole,East Angel,CA,15,151.41
001Lmabc,Peter,Schneider,South Elizastad,KY,79,166.9
001Glabc,Tom,Schuppe,Karleyport,ME,66,175.46
001Diabc,Tony,Pfannerstill,Parkertown,VA,23,158.95
001Keabc,Tony,Wyman,North Moniquemouth,CA,25,200
001Mzabc,John,Hahn,Kshlerinmouth,CA,38,155.41
001Spabc,Peter,Raynor,Rickeyfort,CA,60,175.46
001Giabc,Tom,Ritchie,Parkertown,NE,66,174.54
001Gqabc,Tony,Leffler,Mayertside,VA,73,175.46
001Baabc,Peter,Littel,Dashawnview,SC,70,178.3
001Uiabc,Tony,Tremblay,Mayertside,NE,77,170.56
001Nkabc,Tom,Cremin,Parkertown,CA,27,158.95
001Htabc,Tony,Hermann,East Angel,SC,40,181.61
001Htabc,Tom,Emmerich,South Addisonview,VA,48,175.46
001Zfabc,Steve,Kiehn,North Pablo,VA,46,174.54
001Dnabc,Tom,Smith,North Brenna,NE,36,152.79
001Frabc,John,Lehner,Dickinsonfort,SC,36,161.22
001Xzabc,Tom,Kozey,East Hayliefort,VA,50,170.56
001Pyabc,Peter,Kerluke,Colefort,SC,47,210
001Toabc,Tom,Hoeger,South Elizastad,CA,31,174.54
001Ozabc,John,Smith,East Maureenmouth,MN,25,170.56
001Yrabc,Peter,Dooley,North Moniquemouth,VA,56,151.41
001Dpabc,Tom,Nader,East Angel,NE,39,170.56
001Vnabc,Peter,Hettinger,East Maureenmouth,VA,21,175.46
001Ayabc,John,Larkin,Mayertside,CA,57,166.9
001Mxabc,Jane,Nicolas,Kshlerinmouth,CO,70,170.56
001Bsabc,Tom,Wilderman,South Addisonview,AK,16,174.54
001Wtabc,Tony,Harber,South Addisonview,SC,75,158.95
001Cfabc,Steve,Hoeger,New Lelah,ME,41,174.54
001Yqabc,Tony,Swaniawski,South Roy,VA,34,181.61
001Ymabc,Peter,Prosacco,North Pablo,AK,75,183.96
001Vfabc,Steve,Block,Mayertside,CA,52,183.96
001Rhabc,Steve,Grady,South Addisonview,ME,28,151.41
001Jtabc,Jane,Christiansen,North Brenna,ME,56,158.95
001Qcabc,Jane,Powlowski,South Lilly,KY,26,175.46
001Xwabc,John,Schaefer,East Angel,CA,30,166.9
001Ahabc,Tony,Hackett,East Angel,NE,13,166.9
001Qcabc,Tom,Bahringer,Reganborough,VA,10,158.95
001Acabc,Jane,Hills,New Lelah,CA,45,175.46
001Geabc,Jane,Douglas,South Addisonview,VA,52,166.9
001Gyabc,Tony,Lakin,North Catalina,AK,48,175.46
001Xpabc,Jane,Lind,East Hayliefort,SC,58,151.41
001Okabc,Jane,Bechtelar,Karleyport,KY,11,174.54
001Kfabc,Jane,Pouros,South Lilly,NM,67,170.56
001Kpabc,John,McKenzie,South Addisonview,NE,71,187.23
001Ftabc,John,Wehner,South Addisonview,AK,59,157.0
001Zlabc,Jane,Prosacco,South Lilly,CA,11,200
001Gxabc,Tony,Metz,South Lilly,CA,44,179.32
001Faabc,Jane,Howell,Dashawnview,SC,18,174.54
001Wmabc,Tony,Smith,Derickfort,SC,68,158.95
001Iqabc,Tony,Hamill,Kshlerinmouth,AK,80,166.9
001Bjabc,Steve,Brown,East Hayliefort,CA,76,183.96
001Axabc,Jane,Casper,East Orlando,CA,53,175.46
001Fnabc,Jane,Smith,East Maureenmouth,VA,71,175.46
001Pxabc,Tony,Cartwright,East Hayliefort,KY,27,166.9
001Odabc,Tony,Raynor,Siennahaven,CA,74,157.0
001Pmabc,Jane,Huels,South Lilly,NE,71,158.95
001Hkabc,Jane,Little,Cartwrighttown,SC,41,151.41
001Lpabc,Tony,Osinski,North Moniquemouth,KY,51,175.46
001Cqabc,Tom,Lu,Rickeyfort,ME,74,174.54
001Ufabc,Tom,Maggio,West Claireville,CA,40,156.19
001Ewabc,John,King,North Pablo,CA,65,175.46
001Grabc,Peter,Rodriguez,Brakuston,SC,44,175.46
001Owabc,Tony,Bernier,North Olen,KY,29,174.54
001Mxabc,Tony,Nolan,South Lilly,SC,68,175.46
001Foabc,Peter,Maggio,East Hayliefort,SC,25,175.46
001Fcabc,Tom,Hamill,Brakuston,CA,79,157.0
001Dgabc,John,MacGyver,Brakuston,CA,23,157.0
001Icabc,John,Kohler,East Maureenmouth,CA,54,181.61
001Aqabc,Tom,Breitenberg,East Maureenmouth,AK,60,166.9
001Hpabc,John,Welch,North Pablo,VA,62,182.68
001Pwabc,Steve,Smith,Parkertown,CA,69,166.9
001Hwabc,Peter,Grant,South Lilly,SC,47,174.54
001Ouabc,Steve,Feil,North Estelleville,CA,42,158.95
001Csabc,John,Conn,Port Carmeloton,SC,63,175.46
001Tsabc,Jane,Wyman,Siennahaven,NM,75,158.95
001Fsabc,Tony,Howell,Port Breannatown,AK,22,200
001Dzabc,Tony,Dickens,East Angel,NE,71,155.41
001Nuabc,Peter,Leuschke,New Lelah,NM,55,175.46
001Gnabc,John,Torphy,North Pablo,CA,12,157.0
001Qoabc,Steve,Ward,East Hayliefort,SC,76,182.68
001Peabc,Peter,Mosciski,East Angel,NE,49,174.54
001Nvabc,John,Greenfelder,North Moniquemouth,CA,25,157.0
001Ikabc,Steve,Dicki,Parkertown,NE,16,175.46
001Hfabc,Tom,Hagenes,Brakuston,CA,22,158.95
001Nkabc,Steve,Donnelly,South Addisonview,NM,30,174.54
001Lqabc,Tony,Gibson,East Maureenmouth,VA,42,151.41
001Yfabc,John,Stracke,East Angel,CA,52,157.0
001Qhabc,Steve,Hermann,North Brenna,SC,10,151.41
001Mgabc,Tom,Hand,Parkertown,CA,16,175.46
001Bzabc,Jane,Murazik,South Roy,CA,38,175.46
001Fjabc,Jane,Koelpin,Parkertown,CA,74,183.96
001Qnabc,Steve,Olson,Parkertown,CO,16,157.0
001Xdabc,Steve,Lebsack,Dashawnview,NE,42,175.46
001Wkabc,John,O'Reilly,Huelmouth,CA,24,183.96
001Vrabc,Tom,Dooley,Karleyport,NE,62,158.95
001Khabc,Steve,Cronin,Parkertown,AK,31,175.46
001Rjabc,Tony,Cassin,East Maureenmouth,SC,28,155.41
001Hyabc,Tony,Grady,South Addisonview,NE,64,166.9
001Xtabc,Steve,Leuschke,East Hayliefort,CA,13,179.32
001Pgabc,Tony,Padberg,Port Carmeloton,SC,11,174.54
001Rzabc,Peter,Auer,North Moniquemouth,MN,36,175.46
001Ldabc,John,Nolan,South Lilly,AK,22,157.0
001Ojabc,Tony,Koelpin,East Maureenmouth,SC,17,166.9
001Icabc,Jane,Nicolas,South Lilly,NE,26,175.46
001Eeabc,Steve,Ritchie,West Favian,NE,16,175.46
001Pwabc,Jane,Gleason,East Hayliefort,ME,34,170.56
001Ecabc,Steve,Sawayn,North Estelleville,NM,45,170.56
001Ekabc,Tony,Kirlin,South Addisonview,SC,40,182.68
001Csabc,Tom,Walter,North Moniquemouth,NE,68,158.95
001Gqabc,John,Kris,Derickfort,CA,27,174.54
001Amabc,Steve,Keeling,Reganborough,NE,10,161.22
001Lxabc,John,Ondricka,Dickinsonfort,AK,73,158.95
001Epabc,Jane,Zieme,Rickeyfort,NE,20,158.95
001Qtabc,Tony,Schowalter,North Pablo,SC,39,170.56
001Ebabc,Steve,Leuschke,Derickfort,CA,54,183.96
001Qsabc,John,Thiel,Parkertown,SC,50,175.46
001Xmabc,Steve,Harber,North Moniquemouth,SC,51,157.0
001Zdabc,Peter,Stanton,South Addisonview,CA,46,175.46
001Zbabc,Tony,Rath,North Brenna,CO,72,157.0
001Pmabc,Steve,Zboncak,North Moniquemouth,CA,42,175.46
001Rjabc,John,Strosin,Cartwrighttown,CA,63,175.46
001Jcabc,Tony,Gleason,North Leonardfurt,NE,43,175.46
001Onabc,Tom,Mraz,Mayertside,CA,46,183.96
001Sfabc,Tom,Kuhn,Rickeyfort,AK,76,183.96
001Pvabc,Tony,Cummings,Austenshire,AK,71,175.46
001Hbabc,John,Rath,Brakuston,SC,61,178.3
001Rzabc,John,Baumbach,Derickfort,VA,57,175.46
001Bvabc,Jane,Oberbrunner,Port Breannatown,VA,57,175.46
001Joabc,Jane,Bins,North Moniquemouth,NE,28,158.95
001Zeabc,Jane,Ledner,West Claireville,NE,68,166.9
001Sxabc,Tom,Lu,Parkertown,SC,13,174.54
001Etabc,Steve,Moen,West Favian,SC,19,182.76
001Ukabc,John,Berge,Parkertown,MN,27,174.54
001Qnabc,Jane,Ankunding,South Lilly,AK,15,183.96
001Xzabc,John,Greenfelder,Karleyport,CA,10,178.3
001Ymabc,Tom,Gleichner,North Leonardfurt,SC,62,170.56
001Zeabc,John,Hessel,Lake Abrahamstad,CA,36,183.96
001Yxabc,John,Wiza,East Angel,SC,50,175.46
001Efabc,John,Hegmann,East Angel,CA,79,157.0
001Diabc,Jane,Rath,South Addisonview,VA,64,174.54
001Rfabc,Tom,Ferry,Cartwrighttown,NE,17,151.41
001Ifabc,John,Effertz,Lake Lulabury,AK,24,151.41
001Pjabc,Steve,Armstrong,South Addisonview,VA,78,174.54
001Oaabc,Tom,Gibson,East Maureenmouth,CA,41,156.19
001Lyabc,Steve,Paucek,Kshlerinmouth,NE,17,155.41
001Akabc,Tony,Considine,West Claireville,CA,23,151.41
001Hmabc,Jane,Abshire,North Moniquemouth,CA,74,183.96
001Ipabc,Tom,Sanford,South Addisonview,NE,50,175.46
